
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                          1	1.00000000000e+006	1.56606960297e+000	-3.85160237551e-001	
                          1	                          2	6.81290000000e+005	1.64031219482e+000	-8.53019207716e-002	
                          1	                          3	4.64160000000e+005	1.74107420444e+000	1.47729575634e-001	
                          1	                          4	3.16230000000e+005	1.87360811234e+000	3.32492500544e-001	
                          1	                          5	2.15440000000e+005	2.04235100746e+000	4.65097308159e-001	
                          1	                          6	1.46780000000e+005	2.22236537933e+000	5.53538680077e-001	
                          1	                          7	1.00000000000e+005	2.40176510811e+000	6.08011662960e-001	
                          1	                          8	6.81290000000e+004	2.57457542419e+000	6.44951045513e-001	
                          1	                          9	4.64160000000e+004	2.74545717239e+000	6.76716029644e-001	
                          1	                         10	3.16230000000e+004	2.91775727272e+000	7.07401931286e-001	
                          1	                         11	2.15440000000e+004	3.09554266930e+000	7.42411315441e-001	
                          1	                         12	1.46780000000e+004	3.27969598770e+000	7.74282157421e-001	
                          1	                         13	1.00000000000e+004	3.46715712547e+000	8.09504091740e-001	
                          1	                         14	6.81289990234e+003	3.65716266632e+000	8.52930963039e-001	
                          1	                         15	4.64160009766e+003	3.85480856895e+000	9.09897208214e-001	
                          1	                         16	3.16230004883e+003	4.06248331070e+000	9.83969271183e-001	
                          1	                         17	2.15439990234e+003	4.29184389114e+000	1.07808029652e+000	
                          1	                         18	1.46780004883e+003	4.54700517654e+000	1.19173800945e+000	
                          1	                         19	1.00000000000e+003	4.83442735672e+000	1.32264244556e+000	
                          1	                         20	6.81289978027e+002	5.16282558441e+000	1.47047102451e+000	
                          1	                         21	4.64160003662e+002	5.53126382828e+000	1.62909555435e+000	
                          1	                         22	3.16230010986e+002	5.94399595261e+000	1.79464983940e+000	
                          1	                         23	2.15440002441e+002	6.39858722687e+000	1.96636998653e+000	
                          1	                         24	1.46779998779e+002	6.88692045212e+000	2.14528727531e+000	
                          1	                         25	1.00000000000e+002	7.42218875885e+000	2.34444117546e+000	
                          1	                         26	6.81289978027e+001	8.00887680054e+000	2.56501603127e+000	
                          1	                         27	4.64160003662e+001	8.67518806458e+000	2.79160547256e+000	
                          1	                         28	3.16229991913e+001	9.41846084595e+000	3.03987288475e+000	
                          1	                         29	2.15440006256e+001	1.02442798615e+001	3.26376390457e+000	
                          1	                         30	1.46780004501e+001	1.11335525513e+001	3.44171667099e+000	
                          1	                         31	1.00000000000e+001	1.20535879135e+001	3.57181072235e+000	
                          1	                         32	6.81290006638e+000	1.29908809662e+001	3.67210721970e+000	
                          1	                         33	4.64160013199e+000	1.39314947128e+001	3.75322079659e+000	
                          1	                         34	3.16230010986e+000	1.48896942139e+001	3.83439469337e+000	
                          1	                         35	2.15440011024e+000	1.58688507080e+001	3.92150306702e+000	
